dataset,method,variant,n_repetitions,result_tier,protocol,test_labels_used_for_threshold_or_model_selection,precision_mean,precision_ci95_low,precision_ci95_high,recall_mean,recall_ci95_low,recall_ci95_high,f1_mean,f1_ci95_low,f1_ci95_high,mcc_mean,mcc_ci95_low,mcc_ci95_high,auroc_mean,auroc_ci95_low,auroc_ci95_high,average_precision_mean,average_precision_ci95_low,average_precision_ci95_high,best_adapted_baseline,best_adapted_baseline_f1,absolute_f1_margin,ours_above_all_adapted_baselines
StreamSpot,online_dynamic_tracking_v2,dynamic_full_sketch_knn_zero_validation_exceedance,5,exploratory_reused_public_holdout,scenario-stratified benign split; attacks test-only,False,0.9844645550527904,0.9644291346745928,1.0,1.0,1.0,1.0,0.9921180353329451,0.9819186160588351,1.0,0.9842322080939473,0.9638262499805479,1.0,0.99878,0.9953927369716586,1.0,0.9981625290623954,0.9930608918717402,1.0,FLASH,0.980486407667654,0.011631627665291022,True
Unicorn-Wget,online_dynamic_tracking_v2,dynamic_full_sketch_knn_zero_validation_exceedance,5,exploratory_reused_public_holdout,scenario-stratified benign split; attacks test-only,False,0.9613442483850955,0.9337105941102053,0.9889779026599856,0.8560000000000001,0.6835919246093334,1.0,0.8997472296940625,0.7983030027751972,1.0,0.7687277273791183,0.6139334004573067,0.9235220543009299,0.9790399999999998,0.9717608407819943,0.9863191592180053,0.9898928628344358,0.9857734354424467,0.9940122902264249,AttributionGNN,0.8798768386106234,0.019870391083439132,True
E3-CADETS-Causal,online_dynamic_tracking_v2,dynamic_relation_path_context_gate,5,exploratory_reused_public_holdout,day 6 supervised fit; day 12 supervised gate selection; frozen day 13 test,False,0.7725274725274726,0.7633743567960513,0.7816805882588939,0.46363636363636357,0.4383959535891108,0.4888767736836163,0.5793650793650793,0.5573298007523984,0.6014003579777603,0.5981958902379123,0.5784940422160162,0.6178977382598084,0.9335168928768101,0.9022871333889346,0.9647466523646855,0.4435866048611953,0.41581418204641335,0.4713590276759772,AttributionGNN,0.0997723817741073,0.479592697590972,True

