protocol_version,dataset,variant,seed,train_edges,validation_edges,test_edges,train_nodes,calibration_nodes,test_nodes,malicious_nodes,alpha,reported_nodes,true_reported_nodes,benign_reported_nodes,precision,recall,f1,mcc,auroc,median_alert_window_for_detected_malicious_nodes,elapsed_seconds,decision_time,calibration,row_type,statistic,method,raw_edges,malformed_rows,train_graphs,calibration_graphs,test_graphs,attack_graphs,feature_dimension,neighbors,calibration_alpha,threshold,reported_graphs,average_precision,scan_seconds,peak_feature_state_bytes,label_leakage_control,state_bytes
tifs-e3-full-anytime-node-sketch-v1,E3-CADETS-Causal,dual_head_full,0,1006103.0,502308.0,4179028.0,177870.0,96820.0,523944.0,68.0,0.001,305.0,4.0,301.0,0.0131147540983606,0.0588235294117647,0.0214477211796246,0.027510026952038,0.8614027516839413,537.5,70.6857817,each 15-minute window close,validation-node maximum prefix score; test labels joined after decisions,full_stream_ablation,observed,,,,,,,,,,,,,,,,,
tifs-e3-full-anytime-node-sketch-v1,E3-CADETS-Causal,normalized_structure_only,0,1006103.0,502308.0,4179028.0,177870.0,96820.0,523944.0,68.0,0.001,230.0,4.0,226.0,0.017391304347826,0.0588235294117647,0.0268456375838926,0.0317549923599934,0.9054043239015248,537.5,78.5973352,each 15-minute window close,validation-node maximum prefix score; test labels joined after decisions,full_stream_ablation,observed,,,,,,,,,,,,,,,,,
tifs-e3-full-anytime-node-sketch-v1,E3-CADETS-Causal,size_only,0,1006103.0,502308.0,4179028.0,177870.0,96820.0,523944.0,68.0,0.001,511.0,5.0,506.0,0.009784735812133,0.0735294117647058,0.0172711571675302,0.0264817167311984,0.7106714156201309,110.0,86.5605298,each 15-minute window close,validation-node maximum prefix score; test labels joined after decisions,full_stream_ablation,observed,,,,,,,,,,,,,,,,,
tifs-full-streaming-sketch-v1,StreamSpot,dual_head_full,0,,,,,,,,,,,,0.970873786407767,1.0,0.9852216748768472,0.9704367948586524,1.0,,,graph_window_close_after_last_observed_event,,full_stream_ablation,observed,online_dynamic_full_streaming_sketch_knn,89770902.0,0.0,300.0,100.0,200.0,100.0,1710.0,5.0,0.05,4.615461319606083,103.0,1.0,106.3067114,8193600.0,all benign scenarios stratified; fit train only; threshold validation only,
tifs-full-streaming-sketch-v1,StreamSpot,normalized_structure_only,0,,,,,,,,,,,,0.970873786407767,1.0,0.9852216748768472,0.9704367948586524,1.0,,,graph_window_close_after_last_observed_event,,full_stream_ablation,observed,online_dynamic_full_streaming_sketch_knn,89770902.0,0.0,300.0,100.0,200.0,100.0,1709.0,5.0,0.05,4.613575560125061,103.0,1.0,106.3067114,8193600.0,all benign scenarios stratified; fit train only; threshold validation only,
tifs-full-streaming-sketch-v1,StreamSpot,size_only,0,,,,,,,,,,,,0.9433962264150944,1.0,0.970873786407767,0.9416965821485116,1.0,,,graph_window_close_after_last_observed_event,,full_stream_ablation,observed,online_dynamic_full_streaming_sketch_knn,89770902.0,0.0,300.0,100.0,200.0,100.0,1.0,5.0,0.05,0.0417299510001055,106.0,1.0,106.3067114,8193600.0,all benign scenarios stratified; fit train only; threshold validation only,
tifs-full-streaming-sketch-v1,Unicorn-Wget,dual_head_full,0,,,,,,,,,,,,0.9787234042553192,0.92,0.9484536082474226,0.8576492931439956,0.9768,,,graph_window_close_after_last_observed_event,,full_stream_ablation,observed,online_dynamic_full_streaming_sketch_knn,26750273.0,,75.0,25.0,75.0,50.0,5636.0,5.0,0.05,517.6561446450344,47.0,0.9893655628018052,133.8511611,,fit on benign train only; threshold on benign validation only,7885500.0
tifs-full-streaming-sketch-v1,Unicorn-Wget,normalized_structure_only,0,,,,,,,,,,,,0.9787234042553192,0.92,0.9484536082474226,0.8576492931439956,0.9768,,,graph_window_close_after_last_observed_event,,full_stream_ablation,observed,online_dynamic_full_streaming_sketch_knn,26750273.0,,75.0,25.0,75.0,50.0,5635.0,5.0,0.05,517.656108348758,47.0,0.9893655628018052,134.11091290000002,,fit on benign train only; threshold on benign validation only,7885500.0
tifs-full-streaming-sketch-v1,Unicorn-Wget,size_only,0,,,,,,,,,,,,0.875,0.28,0.4242424242424242,0.2301436544745808,0.54,,,graph_window_close_after_last_observed_event,,full_stream_ablation,observed,online_dynamic_full_streaming_sketch_knn,26750273.0,,75.0,25.0,75.0,50.0,1.0,5.0,0.05,0.2971106293949706,16.0,0.7449258090412505,134.1284465,,fit on benign train only; threshold on benign validation only,7885500.0
